Year,THACODE,TotalProduction_MT,Rui_MT,Catla_MT,Mrigal_MT,Kalibaus_MT,Bata_MT,Gonia_MT,Pangas_MT,Boal_Air_MT,Shol_Gazar_Taki_MT,Koi_MT,Shingi_Magur_MT,Sarpunti_MT,OtherInlandFish_MT,Hilsa_Ilish_MT,Galda_MT,Bagda_MT,Harina_MT,Chaka_MT,OtherSmallShrimp_Prawn_MT
1985,100409,87.22,2.12,2.12,2.12,12.7,6.35,0,0,17.36,0,0,0,0,19.05,20.75,0,0,0,0,4.66
1986,100409,88.1,2.14,2.14,2.14,12.83,6.41,0,0,17.53,0,0,0,0,19.24,20.96,0,0,0,0,4.7
1987,100409,88.99,2.16,2.16,2.16,12.96,6.48,0,0,17.71,0,0,0,0,19.44,21.17,0,0,0,0,4.75
1988,100409,89.89,2.18,2.18,2.18,13.09,6.55,0,0,17.89,0,0,0,0,19.64,21.38,0,0,0,0,4.8
1989,100409,90.79,2.2,2.2,2.2,13.22,6.61,0,0,18.07,0,0,0,0,19.83,21.6,0,0,0,0,4.85
1990,100409,95.2,2.2,2.2,2.2,13.22,6.61,0,0,18.07,0,0,0,0,19.83,26,0,0,0,0,4.85
1991,100409,95.2,2.2,2.2,2.2,13.22,6.61,0,0,18.07,0,0,0,0,19.83,26,0,0,0,0,4.85
1992,100409,95.2,2.2,2.2,2.2,13.22,6.61,0,0,18.07,0,0,0,0,19.83,26,0,0,0,0,4.85
1993,100409,95.2,2.2,2.2,2.2,13.22,6.61,0,0,18.07,0,0,0,0,19.83,26,0,0,0,0,4.85
1994,100409,95.2,2.2,2.2,2.2,13.22,6.61,0,0,18.07,0,0,0,0,19.83,26,0,0,0,0,4.85
1995,100409,10.58,0,0,0,0,0,0,0,0,0,0,0,0,10.58,0,0,0,0,0,0
1996,100409,34.6,0.22,0.22,0.22,0,0,0,0,1.76,0,0,0,0,21.82,5.51,0,0,0,0,4.85
1997,100409,58.62,0.44,0.44,0.44,0,0,0,0,3.53,0,0,0,0,33.06,11.02,0,0,0,0,9.7
1998,100409,58.62,0.44,0.44,0.44,0,0,0,0,3.53,0,0,0,0,33.06,11.02,0,0,0,0,9.7
1999,100409,57.74,0.44,0.44,0.44,0,0,0,0,5.29,0,0,0,0,29.09,11.02,0,0,0,0,11.02
2000,100409,44.07,3.09,3.09,3.09,0,0,0,0,10.58,0,0,0,0,7.05,11.46,0.44,0,0,0,5.29
2001,100409,43.63,3.09,3.09,3.09,0,0,0,0,7.93,0,0,0,0,11.02,10.14,0.88,0,0,0,4.41
2002,100409,36.58,2.2,2.2,2.2,0,0,0,0,4.41,0,0,0,0,11.46,7.93,0.88,0,0,0,5.29
2003,100409,59.06,1.34,0.48,0.38,0,0,0,0,3.53,0,0,0,0,37.46,8.81,0.44,0,0,0,6.61
2004,100409,41.87,1.88,1.88,1.53,0,0,0,0,13.66,0,0,0,0,6.17,13.22,0.88,0,0,0,2.64
2005,100409,42.31,0.54,0.19,0.15,0,0,0,0,1.32,0,0,0,0,23.8,9.7,0.44,0,0,0,6.17
2006,100409,42.31,0.54,0.19,0.15,0,0,0,0,1.32,0,0,0,0,23.8,9.7,0.44,0,0,0,6.17
2007,100409,79.78,0.27,0.1,0.08,0,0,0,0,1.76,0,0,0,0,46.72,20.72,2.2,0,0,0,7.93
