THAID,THACODE,DIVNAME,DISTNAME,THANAME
1004090,100409,Barisal,Barguna,Amtali
1004190,100419,Barisal,Barguna,Bamna
1004280,100428,Barisal,Barguna,Barguna Sadar
1004470,100447,Barisal,Barguna,Betagi
1004850,100485,Barisal,Barguna,Patharghata
1006020,100602,Barisal,Barisal,Agailjhara
1006030,100603,Barisal,Barisal,Babuganj
1006070,100607,Barisal,Barisal,Bakerganj
1006100,100610,Barisal,Barisal,Banari Para
1006320,100632,Barisal,Barisal,Gaurnadi
1006360,100636,Barisal,Barisal,Hizla
1006510,100651,Barisal,Barisal,Barisal Sadar (Kotwali)
1006620,100662,Barisal,Barisal,Mehendiganj
1006690,100669,Barisal,Barisal,Muladi
1006940,100694,Barisal,Barisal,Wazirpur
1009180,100918,Barisal,Bhola,Bhola Sadar
1009210,100921,Barisal,Bhola,Burhanuddin
1009250,100925,Barisal,Bhola,Char Fasson
1009290,100929,Barisal,Bhola,Daulatkhan
1009540,100954,Barisal,Bhola,Lalmohan
1009650,100965,Barisal,Bhola,Manpura
1009910,100991,Barisal,Bhola,Tazumuddin
1042400,104240,Barisal,Jhalokati,Jhalokati Sadar
1042430,104243,Barisal,Jhalokati,Kanthalia
1042730,104273,Barisal,Jhalokati,Nalchity
1042840,104284,Barisal,Jhalokati,Rajapur
1078380,107838,Barisal,Patuakhali,Bauphal
1078520,107852,Barisal,Patuakhali,Dashmina
1078550,107855,Barisal,Patuakhali,Dumki
1078570,107857,Barisal,Patuakhali,Galachipa
1078660,107866,Barisal,Patuakhali,Kala Para
1078760,107876,Barisal,Patuakhali,Mirzaganj
1078950,107895,Barisal,Patuakhali,Patuakhali Sadar
1079140,107914,Barisal,Pirojpur,Bhandaria
1079470,107947,Barisal,Pirojpur,Kawkhali
1079580,107958,Barisal,Pirojpur,Mathbaria
1079760,107976,Barisal,Pirojpur,Nazirpur
1079800,107980,Barisal,Pirojpur,Pirojpur Sadar
1079870,107987,Barisal,Pirojpur,Nesarabad (Swarupkati)
1079900,107990,Barisal,Pirojpur,Zianagar
2003040,200304,Chittagong,Bandarban,Alikadam
2003140,200314,Chittagong,Bandarban,Bandarban Sadar
2003510,200351,Chittagong,Bandarban,Lama
2003730,200373,Chittagong,Bandarban,Naikhongchhari
2003890,200389,Chittagong,Bandarban,Rowangchhari
2003910,200391,Chittagong,Bandarban,Ruma
2003950,200395,Chittagong,Bandarban,Thanchi
2012020,201202,Chittagong,Brahamanbaria,Akhaura
2012040,201204,Chittagong,Brahamanbaria,Banchharampur
2012070,201207,Chittagong,Brahamanbaria,Bijoynagar
2012130,201213,Chittagong,Brahamanbaria,Brahmanbaria Sadar
2012330,201233,Chittagong,Brahamanbaria,Ashuganj
